name	sample	num_seqs	limit
DNA_NFW_8e103_50k	DNA_NFW_8e103	91032	50k
DNA_NFW_8e103_100k	DNA_NFW_8e103	91032	100k
DNA_WW_Control48h_50k	DNA_WW_Control48h	226404	50k
DNA_WW_Control48h_100k	DNA_WW_Control48h	226404	100k
DNA_WW_Control48h_200k	DNA_WW_Control48h	226404	200k
RNA_NFW_8e103_50k	RNA_NFW_8e103	271493	50k
RNA_NFW_8e103_100k	RNA_NFW_8e103	271493	100k
RNA_NFW_8e103_200k	RNA_NFW_8e103	271493	200k
DNA_NFW_4e104_50k	DNA_NFW_4e104	340832	50k
DNA_NFW_4e104_100k	DNA_NFW_4e104	340832	100k
DNA_NFW_4e104_200k	DNA_NFW_4e104	340832	200k
DNA_NFW_4e104_300k	DNA_NFW_4e104	340832	300k
DNA_Grab_8e103_50k	DNA_Grab_8e103	788723	50k
DNA_Grab_8e103_100k	DNA_Grab_8e103	788723	100k
DNA_Grab_8e103_200k	DNA_Grab_8e103	788723	200k
DNA_Grab_8e103_300k	DNA_Grab_8e103	788723	300k
DNA_Grab_8e103_500k	DNA_Grab_8e103	788723	500k
DNA_Comp_4e104_50k	DNA_Comp_4e104	820505	50k
DNA_Comp_4e104_100k	DNA_Comp_4e104	820505	100k
DNA_Comp_4e104_200k	DNA_Comp_4e104	820505	200k
DNA_Comp_4e104_300k	DNA_Comp_4e104	820505	300k
DNA_Comp_4e104_500k	DNA_Comp_4e104	820505	500k
DNA_Comp_4e104_800k	DNA_Comp_4e104	820505	800k
DNA_Grab_4e104_50k	DNA_Grab_4e104	876172	50k
DNA_Grab_4e104_100k	DNA_Grab_4e104		100k
DNA_Grab_4e104_200k	DNA_Grab_4e104		200k
DNA_Grab_4e104_300k	DNA_Grab_4e104		300k
DNA_Grab_4e104_500k	DNA_Grab_4e104		500k
DNA_Grab_4e104_800k	DNA_Grab_4e104		800k
DNA_WW_Control0h_50k	DNA_WW_Control0h	890390	50k
DNA_WW_Control0h_100k	DNA_WW_Control0h		100k
DNA_WW_Control0h_200k	DNA_WW_Control0h		200k
DNA_WW_Control0h_300k	DNA_WW_Control0h		300k
DNA_WW_Control0h_500k	DNA_WW_Control0h		500k
DNA_WW_Control0h_800k	DNA_WW_Control0h		800k
RNA_Grab_8e103_50k	RNA_Grab_8e103	895365	50k
RNA_Grab_8e103_100k	RNA_Grab_8e103		100k
RNA_Grab_8e103_200k	RNA_Grab_8e103		200k
RNA_Grab_8e103_300k	RNA_Grab_8e103		300k
RNA_Grab_8e103_500k	RNA_Grab_8e103		500k
RNA_Grab_8e103_800k	RNA_Grab_8e103		800k
DNA_Comp_2e105_50k	DNA_Comp_2e105	928091	50k
DNA_Comp_2e105_100k	DNA_Comp_2e105		100k
DNA_Comp_2e105_200k	DNA_Comp_2e105		200k
DNA_Comp_2e105_300k	DNA_Comp_2e105		300k
DNA_Comp_2e105_500k	DNA_Comp_2e105		500k
DNA_Comp_2e105_800k	DNA_Comp_2e105		800k
DNA_Comp_8e103_50k	DNA_Comp_8e103	1017782	50k
DNA_Comp_8e103_100k	DNA_Comp_8e103		100k
DNA_Comp_8e103_200k	DNA_Comp_8e103		200k
DNA_Comp_8e103_300k	DNA_Comp_8e103		300k
DNA_Comp_8e103_500k	DNA_Comp_8e103		500k
DNA_Comp_8e103_800k	DNA_Comp_8e103		800k
DNA_Comp_8e103_1M	DNA_Comp_8e103		1M
RNA_Comp_1e106_50k	RNA_Comp_1e106	1031198	50k
RNA_Comp_1e106_100k	RNA_Comp_1e106		100k
RNA_Comp_1e106_200k	RNA_Comp_1e106		200k
RNA_Comp_1e106_300k	RNA_Comp_1e106		300k
RNA_Comp_1e106_500k	RNA_Comp_1e106		500k
RNA_Comp_1e106_800k	RNA_Comp_1e106		800k
RNA_Comp_1e106_1M	RNA_Comp_1e106		1M
RNA_Grab_1e106_50k	RNA_Grab_1e106	1148655	50k
RNA_Grab_1e106_100k	RNA_Grab_1e106		100k
RNA_Grab_1e106_200k	RNA_Grab_1e106		200k
RNA_Grab_1e106_300k	RNA_Grab_1e106		300k
RNA_Grab_1e106_500k	RNA_Grab_1e106		500k
RNA_Grab_1e106_800k	RNA_Grab_1e106		800k
RNA_Grab_1e106_1M	RNA_Grab_1e106		1M
RNA_NFW_4e104_50k	RNA_NFW_4e104	1399318	50k
RNA_NFW_4e104_100k	RNA_NFW_4e104		100k
RNA_NFW_4e104_200k	RNA_NFW_4e104		200k
RNA_NFW_4e104_300k	RNA_NFW_4e104		300k
RNA_NFW_4e104_500k	RNA_NFW_4e104		500k
RNA_NFW_4e104_800k	RNA_NFW_4e104		800k
RNA_NFW_4e104_1M	RNA_NFW_4e104		1M
DNA_Grab_2e105_50k	DNA_Grab_2e105	1742160	50k
DNA_Grab_2e105_100k	DNA_Grab_2e105		100k
DNA_Grab_2e105_200k	DNA_Grab_2e105		200k
DNA_Grab_2e105_300k	DNA_Grab_2e105		300k
DNA_Grab_2e105_500k	DNA_Grab_2e105		500k
DNA_Grab_2e105_800k	DNA_Grab_2e105		800k
DNA_Grab_2e105_1M	DNA_Grab_2e105		1M
DNA_Grab_2e105_1.5M	DNA_Grab_2e105		1.5M
DNA_NFW_2e105_50k	DNA_NFW_2e105	1918345	50k
DNA_NFW_2e105_100k	DNA_NFW_2e105		100k
DNA_NFW_2e105_200k	DNA_NFW_2e105		200k
DNA_NFW_2e105_300k	DNA_NFW_2e105		300k
DNA_NFW_2e105_500k	DNA_NFW_2e105		500k
DNA_NFW_2e105_800k	DNA_NFW_2e105		800k
DNA_NFW_2e105_1M	DNA_NFW_2e105		1M
DNA_NFW_2e105_1.5M	DNA_NFW_2e105		1.5M
